Region,Año,Mes,precipitacion,evaporacion,temperaturaMax,temperaturaMin
Region 1,2011,10,23.1,170.34,20.9615,7.073
Region 1,2012,10,4.4,201.6,26.08,11.951
Region 1,2013,10,28.75,123.885,26.8325,12.04
Region 1,2014,10,17.65,167.44,27.314,12.6365
Region 1,2015,10,87.75,136.39,28.855,12.588
Region 1,2016,10,3.3,164.965,27.3785,11.2418
Region 1,2017,10,9.5,160.2,25.5965,11.7735
Region 1,2018,10,106.75,119.825,27.2495,12.694
Region 1,2019,10,27.5,154.01375,29.538,13.153
Region 1,2020,10,4.9,185.28,29.8625,11.8615
Region 1,2021,10,22,150.75,27.189,13.16
Region 1,2000,11,0,153.545,23.358,6.633
Region 1,2001,11,0.1,146.96,24.008,7.34995
Region 1,2002,11,32.1,133.075,22.691,5.8916
Region 1,2003,11,7.1,149.12,22.716,7.67465
Region 1,2004,11,0,163.085,22.208,5.5833
Region 1,2005,11,0.05,157.34,23.5745,6.875
Region 1,2006,11,30.2,126.13,21.433,4.367
Region 1,2007,11,0.85,135.035,21.8245,4.6168
Region 1,2008,11,0,138.65,23.508,6.42495
Region 1,2009,11,11.15,131.495,18.9745,2.91665
Region 1,2010,11,0,159.405,20.3415,2.925
Region 1,2011,11,2,178,19.783,3.6633
Region 1,2012,11,0,137.57,23.416,8.9666
Region 1,2013,11,29.3,108.66,24.1,9.9083
Region 1,2014,11,17.75,126.69,23.408,8.14995
Region 1,2015,11,2.8,124.08,27.683,11.4745
Region 1,2016,11,30.15,112.36,25.333,9.92465
Region 1,2017,11,0,160.155,26.8995,8.7416
Region 1,2018,11,60.15,122.375,25.234,8.15235
Region 1,2019,11,20.05,112.19,26.726,10.9645
Region 1,2020,11,0,180.255,28.0445,9.1541
Region 1,2021,11,20.05,154.2616667,26.726,8.682683333
Region 1,2000,12,28.2,114.575,22.572,4.5483
Region 1,2001,12,0.6,133.56,23.3545,6.78225
Region 1,2002,12,0,124.875,22.6205,4.70155
Region 1,2003,12,0,138.13,23.185,4.0161
Region 1,2004,12,0.05,122.18,20.338,3.7903
Region 1,2005,12,1.4,128.02,22.927,6.0161
Region 1,2006,12,10.85,109.125,20.169,2.21785
Region 1,2007,12,1.6,130.145,21.451,3.5403
Region 1,2008,12,0,128.72,23.29,1.94375
Region 1,2009,12,2.85,119.335,17.419,2.1129
Region 1,2010,12,0,130.475,19.084,0.26655
Region 1,2011,12,0,150.31,19.4355,2.39315
Region 1,2012,12,10.4,140.42,22.419,5.9032
Region 1,2013,12,72.55,112.05,22.1125,7.33865
Region 1,2014,12,4.6,148.465,22.564,6.9274
Region 1,2015,12,26.1,102.69,25.169,6.72575
Region 1,2016,12,0,122.84,24.9265,7.56445
Region 1,2017,12,28.85,105.92,24.227,5.9238
Region 1,2018,12,1.55,89.7,24.0395,5.09735
Region 1,2019,12,10.2,103.38,25.2565,6.83895
Region 1,2020,12,5.4,123.845,24.911,7.129
Region 1,2021,12,11.5,105.71125,24.6085,6.247275
Region 2,2000,1,0,158.6906667,23.11893333,2.593533333
Region 2,2001,1,0.478571429,141.54,22.24614286,3.217692857
Region 2,2002,1,18.58666667,151.724,22.87593333,3.088133333
Region 2,2003,1,7.466666667,122.0057143,22.26946667,3.597806667
Region 2,2004,1,48.96666667,114.858,21.16766667,3.832206667
Region 2,2005,1,1.666666667,120.5938462,22.55485714,2.953864286
Region 2,2006,1,5.306666667,127.9441667,23.53757143,1.784614286
Region 2,2007,1,23.82666667,95.25466667,20.7458,4.337593333
Region 2,2008,1,0,130.972,23.35333333,3.0946
Region 2,2009,1,0.533333333,119.3866667,23.77066667,3.983833333
Region 2,2010,1,37,106.7769231,20.19528571,3.165857143
Region 2,2011,1,0.292857143,124.1807143,23.0675,1.813842857
Region 2,2012,1,10.34666667,120.5106667,22.3528,3.588126667
Region 2,2013,1,52.58,101.7806667,21.263,4.818613333
Region 2,2014,1,6.24,97.168,20.73693333,3.589193333
Region 2,2015,1,6.335714286,100.4121429,23.06128571,5.972657143
Region 2,2016,1,3.564285714,117.6892308,21.58942857,1.931014286
Region 2,2017,1,2.178571429,133.2092308,23.79607692,3.879607692
Region 2,2018,1,46.4,104.7569231,22.60014286,3.797764286
Region 2,2019,1,13.99333333,100.8883333,23.08533333,4.196066667
Region 2,2020,1,46.06428571,100.8608333,22.049,4.618464286
Region 2,2021,1,8.507142857,115.7188889,23.756,3.308128571
Region 2,2000,2,0.035714286,161.1342857,25.06971429,4.325078571
Region 2,2001,2,0.58,158.76,24.983,5.793953333
Region 2,2002,2,38.40666667,148.13,23.76746667,5.239233333
Region 2,2003,2,0.786666667,152.25,24.42333333,5.430913333
Region 2,2004,2,3.546666667,151.622,23.26753333,2.894306667
Region 2,2005,2,43.40666667,115.3769231,22.78021429,5.862214286
Region 2,2006,2,0.166666667,153.4858333,26.07357143,4.519092857
Region 2,2007,2,19.51333333,134.3357143,24.25786667,3.91426
Region 2,2008,2,2.74,165.7257143,25.15464286,4.308046667
Region 2,2009,2,0,157.414,24.33423333,4.790413333
Region 2,2010,2,113.6133333,115.4242857,20.18413333,3.78806
Region 2,2011,2,0.2,156.175,25.7662,4.342813333
Region 2,2012,2,49.34666667,109.2628571,21.32826667,5.801106667
Region 2,2013,2,0,155.1571429,25.477,4.881173333
Region 2,2014,2,1,132.74,26.06186667,5.242557143
Region 2,2015,2,34.35714286,104.7930769,23.84878571,5.733857143
Region 2,2016,2,8.906666667,141.67,25.43233333,3.88504
Region 2,2017,2,3.6,143.1566667,26.09161538,4.406546154
Region 2,2018,2,28.49285714,107.7530769,25.153,7.236685714
Region 2,2019,2,10.69761905,135.77,26.10394872,6.539713333
Region 2,2020,2,10.69761905,135.901396,30.935,4.1785
Region 2,2021,2,0,156.7944444,27.06723077,4.571384615
Region 2,2000,3,0,212.1035714,27.61935714,7.29025
Region 2,2001,3,21.27333333,209.1415385,26.28446667,6.135433333
Region 2,2002,3,0,208.0857143,27.59953333,8.150453333
Region 2,2003,3,0,214.9526667,26.78433333,5.788566667
Region 2,2004,3,34.54,180.0133333,26.83606667,7.579513333
Region 2,2005,3,7.786666667,189.7335714,24.54228571,4.998814286
Region 2,2006,3,0,224.9684615,28.15285714,7.022942857
Region 2,2007,3,0,197.1564286,27.54753333,7.011253333
Region 2,2008,3,0.066666667,221.7871429,26.35646667,6.327886667
Region 2,2009,3,0.76,206.5457143,27.89426667,7.076273333
Region 2,2010,3,0,200.8146667,25.23506667,5.585966667
Region 2,2011,3,0.153333333,213.1085714,28.27093333,7.340813333
Region 2,2012,3,0.52,208.0373333,27.38671429,7.822826667
