Estacion,precEne,precFeb,precMar,precAbr,precMay,precJun,precJul,precAgo,precSep,precOct,precNov,precDic,evaEne,evaFeb,evaMar,evaAbr,evaMay,evaJun,evaJul,evaAgo,evaSep,evaOct,evaNov,evaDic,tempMaxEne,tempMaxFeb,tempMaxMar,tempMaxAbr,tempMaxMay,tempMaxJun,tempMaxJul,tempMaxAgo,tempMaxSep,tempMaxOct,tempMaxNov,tempMaxDic,tempMinEne,tempMinFeb,tempMinMar,tempMinAbr,tempMinMay,tempMinJun,tempMinJul,tempMinAgo,tempMinSep,tempMinOct,tempMinNov,tempMinDic,Latitud,Longitud,Grupo
EstacionPresaCanutillo,18.414,10.875,4.7381,5.5365,19.452,98.561,143.52,117.83,95.05,38.419,9.5853,12.49,118.08,142.25,214.57,236.32,243.85,198.92,154.22,149.46,130.42,133.57,116.02,106.87,22.547,24.907,27.348,29.677,31.251,29.578,26.876,27.026,26.264,26.452,25.209,23.215,1.3801,2.6191,4.6927,7.544,10.65,13.846,13.694,13.296,12.723,8.7784,4.5067,2.0667,21.837,-102.522,2
EstacionPresaElNiagara,15.409,11.725,5.7296,7.7859,18.453,89.484,136.73,120.1,100.6,38.803,12.079,12.098,115.33,143.82,214.42,238.22,253.02,205.4,166.93,155.3,131.89,127.68,112.93,100.86,23.702,25.683,28.405,30.761,32.351,30.826,28.056,27.902,27.208,27.039,25.993,24.021,2.8649,3.6347,5.5987,8.2181,11.296,14.208,13.801,13.511,13.035,10.047,5.9945,3.8667,21.781,-102.372,3
EstacionPresaJocoque,16.611,7.9389,5.3582,6.523,19.16,76.157,105.61,102.82,87.105,33.925,10.976,12.239,112.02,138.19,214.59,245.16,254.46,202.54,169.65,161.25,131.39,126.4,113.23,102.47,21.897,23.923,26.664,29.196,30.45,28.654,26.683,26.694,25.57,25.413,24.37,22.515,3.8929,5.1664,7.3699,10.071,12.423,13.885,13.276,13.053,12.67,9.8843,6.5045,4.5976,22.128,-102.359,3
EstacionPresaLaCodorniz,18.05,11.761,6.2396,5.1793,20.013,91.693,153.18,147.47,105.36,39.357,12.577,12.971,133.05,161.68,231.99,260.76,270.67,211.22,172.3,163.18,137.15,144.59,133.77,122.82,22.705,24.565,27.259,29.596,31.069,29.376,26.636,26.433,25.901,26.084,24.834,22.953,5.836,6.5446,8.5297,10.839,13.301,14.783,13.939,13.749,13.362,11.082,8.1737,6.578,21.997,-102.674,2
EstacionPresaMediaLuna,17.239,9.8102,4.0235,3.5449,18.39,109.66,175.52,160.63,104.46,36.248,11.324,12.156,100.54,130.51,208.09,242.08,264.29,221.23,176.96,163.17,135,132.87,106.67,92.062,25.26,27.22,30.055,32.372,34.165,32.27,29.047,29.032,28.785,29.207,27.789,25.609,2.4522,3.1936,4.8852,7.8156,11.455,15.214,14.745,14.395,13.779,10.329,5.6749,3.4041,21.794,-102.802,2
EstacionPresaPlutarcoEliasCalles,15.611,7.9569,4.6522,5.6011,20.219,86.71,109.7,100.74,81.288,35.048,9.5977,10.402,118.54,147.23,221.22,245.98,251.56,200.19,167.69,159.44,130.5,127.32,114.1,105.35,21.751,23.398,26.071,28.52,29.945,28.435,26.26,26.328,25.256,25.214,24.022,22.15,3.8806,5.1099,7.4054,10.152,12.428,13.726,13.275,13.061,12.496,9.6595,6.1949,4.5472,22.141,-102.415,3
EstacionPresaPotrerillos,16.755,9.6789,6.9506,8.1141,19.4,83.087,107.62,100.09,86.939,38.381,11.065,12.047,125.9,158.3,235.31,258.7,259.29,199.89,166.57,157.84,126.9,126.68,120.37,111.53,20.783,22.567,25.133,27.476,28.961,27.749,25.623,25.599,24.624,24.392,23.194,21.405,4.2543,5.3183,7.5608,10.308,12.372,13.528,13.054,12.869,12.372,9.8014,6.5032,5.0733,22.233,-102.444,3
EstacionPuertoDeLaConcepcion,23.508,12.033,7.1645,9.3393,19.188,85.17,127.1,106.61,89.116,38.409,11.229,14.198,104.53,122.61,180.93,214.83,236.07,188.89,159.96,150.59,125.09,119.84,106.53,97.467,20.86,22.513,25.008,27.727,29.15,27.706,25.653,25.467,24.54,23.813,22.736,21.142,5.2335,6.0006,7.9819,10.219,11.994,12.223,11.547,11.744,11.266,9.6802,7.4334,6.0339,22.203,-102.135,3
EstacionRanchoSeco,15.171,10.272,5.5658,6.74,17.671,71.117,93.258,79.827,60.115,25.895,10.226,7.7902,136.43,155.3,221.01,240.9,256.21,215.32,189.87,182.91,158.99,162.16,140.21,131.46,21.347,22.996,25.829,28.057,29.505,28.469,26.755,26.763,25.739,24.921,23.682,22.063,4.5322,5.6855,7.8564,9.5939,11.97,13.271,12.902,12.753,12.071,9.7175,6.8144,5.0193,22.088,-101.967,3
EstacionRanchoViejo,19.239,12.898,7.4383,6.5803,21.383,86.764,144.79,122.17,102.99,40.756,10.431,12.918,136.54,150.46,187.25,213.07,240.58,210.07,169.17,162.85,137.48,143.75,130.96,132.18,21.796,23.575,26.316,28.983,30.506,29.01,26.678,26.282,25.382,25.245,23.961,21.796,3.3298,4.2797,6.5537,9.4092,11.627,12.691,12.264,11.89,11.378,8.5797,5.3105,3.5575,22.123,-102.511,2
EstacionRinconDeRommos,18.831,11.2,4.5476,5.3125,18.14,60.626,103.6,82.978,70.514,36.833,9.6682,11.814,94.394,108.31,159.39,180.52,206.31,176.77,151.1,147.22,119.93,117.99,96.934,87.136,21.023,23.255,26.37,29.316,30.909,29.877,26.958,26.914,25.404,24.99,23.293,21.345,2.2245,3.6055,5.7991,7.8972,10.115,11.049,10.819,10.554,9.7575,7.19,4.3891,2.8009,22.231,-102.315,3
EstacionSanBartolo,14.093,9.46,6.1444,7.8371,23.565,92.768,130.51,119.64,96.579,35.253,11.829,10.786,122.62,150.25,213.07,233.4,253.49,199.81,171.89,166.71,148.73,144.28,126.34,113.77,22.974,24.544,27.111,29.441,31.108,29.625,27.351,27.285,26.533,26.205,25.137,23.167,2.8752,4.2025,6.4564,9.066,11.526,13.125,12.756,12.603,12.109,9.2821,5.4881,3.7022,21.748,-102.17,3
EstacionSandovales,12.402,9.0978,2.2937,4.3326,18.352,72.685,117.98,96.694,71.791,27.793,8.8291,8.2387,123.47,133.82,176.52,206.02,215.9,184.88,158.95,155.19,146.5,142.93,132.76,127.04,21.393,23.255,26.005,28.253,29.653,27.869,25.65,25.366,24.724,24.505,23.323,21.664,2.4882,2.7647,4.4194,6.2563,8.5422,10.476,10.752,10.289,9.8363,6.8676,3.6841,2.6708,21.882,-102.109,3
EstacionSanFranciscoDeLosRomo,20.258,12.294,5.93,4.9846,15.917,70.671,110.82,84.643,69.277,32.05,9.7394,13.015,142.69,163.52,228.18,259.34,264.2,225.06,190.8,187.7,167,167.5,151.44,134.36,21.785,24.13,26.433,28.917,30.635,29.773,28.009,27.8,27.218,25.729,24.043,21.879,3.5802,4.8255,7,9.8645,12.877,14.675,14.334,14.055,13.455,10.514,6.2564,4.1489,22.079,-102.273,3
EstacionSanGil,19.909,12.802,5.3952,6.8804,18.985,75.929,99.516,85.347,71.987,28.034,10.49,11.073,107.34,124.29,167.01,196.89,214.63,190.8,166.84,160.04,136.16,130.08,104.51,99.015,21.047,23.21,25.853,28.346,30.02,28.624,26.409,26.517,25.1,24.923,23.254,21.514,2.4449,3.5556,5.6646,7.9511,10.937,12.794,12.278,12.12,11.533,8.7096,4.884,2.9283,22.208,-102.022,3
EstacionSanIsidro,12.666,11.098,3.9407,4.5245,18.267,71.22,114.43,104.64,80.069,30.375,8.8615,8.7981,134.63,148.09,207.45,222.27,234.18,200.45,176.11,165.75,150.28,150.71,140.31,131.42,21.535,23.154,25.083,27.835,28.901,28.387,25.896,25.638,25.278,24.524,23.625,21.502,2.7274,3.5953,5.7746,8.4843,10.928,12.69,12.454,11.847,11.265,8.739,4.8966,3.343,21.779,-102.104,3
EstacionTepetatillo,18.112,11.474,5.578,6.1292,18.926,79.124,119.67,103.65,83.67,31.975,8.6794,12.179,100.6,124.27,181.46,207.14,227.75,199.05,165.4,159.1,129.33,125.43,106.95,97.926,21.727,24.022,26.919,29.469,30.821,28.878,26.633,26.341,25.066,25.116,23.672,21.996,1.5673,2.7089,4.6459,7.028,10.146,12.669,12.247,11.829,11.254,8.1484,4.2825,2.1046,22.091,-102.181,3
EstacionTepezala,17.345,11.228,6.8745,6.3344,18.286,69.954,112.86,95.635,79.287,28.006,9.2448,12.998,111.88,132.57,195.83,229.02,241.41,211.69,174.76,170.91,146.61,151.94,121.41,112.39,21.805,23.88,26.64,29.465,30.745,29.688,27.181,27.012,25.973,25.764,24.13,22.211,4.1489,5.493,7.746,10.361,12.173,13.205,12.46,12.008,11.638,9.8477,6.4921,4.7716,22.224,-102.169,3
EstacionVenadero,16.205,9.8442,5.6916,8.5619,17.187,91.895,121.23,116.06,91.787,38.262,11.012,13.663,142.71,171.55,245.11,273.21,285.62,231.44,189.02,176.3,149.97,157.04,143.53,129.95,21.822,23.507,26.272,28.775,30.254,28.968,26.558,26.319,25.396,25.011,23.744,21.867,4.7152,5.824,7.8474,10.264,12.483,14.08,13.563,13.427,12.877,10.443,7.3588,5.5843,21.877,-102.463,2
EstacionVillaJuarez,17.402,8.6885,5.6774,9.1521,21.67,71.474,100.26,94.486,78.116,32.601,11.723,10.269,127.93,145.77,211.04,225.38,243.3,213.6,186.61,179.68,155.19,152.56,132.54,119.16,22.513,24.301,26.765,28.804,30.161,29.087,27.413,27.392,26.553,25.968,24.767,23.006,0.9064,1.9668,4.3427,6.3138,8.9198,11.324,11.333,11.103,10.573,7.429,3.8148,1.8105,22.101,-102.068,3
